country,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,0,0.0,Asia
Albania,54,4.9,Europe
Algeria,14,0.7,Africa
Andorra,312,12.4,Europe
Angola,45,5.9,Africa
Antigua & Barbuda,45,4.9,North America
Argentina,221,8.3,South America
Armenia,11,3.8,Europe
Australia,212,10.4,Oceania
Austria,191,9.7,Europe
Azerbaijan,5,1.3,Europe
Bahamas,51,6.3,North America
Bahrain,7,2.0,Asia
Bangladesh,0,0.0,Asia
Barbados,36,6.3,North America
Belarus,42,14.4,Europe
Belgium,212,10.5,Europe
Belize,8,6.8,North America
Benin,13,1.1,Africa
Bhutan,0,0.4,Asia
Bolivia,8,3.8,South America
Bosnia-Herzegovina,8,4.6,Europe
Botswana,35,5.4,Africa
Brazil,16,7.2,South America
Brunei,1,0.6,Asia
Bulgaria,94,10.3,Europe
Burkina Faso,7,4.3,Africa
Burundi,0,6.3,Africa
Cote d'Ivoire,7,4.0,Africa
Cabo Verde,16,4.0,Africa
Cambodia,1,2.2,Asia
Cameroon,4,5.8,Africa
Canada,100,8.2,North America
Central African Republic,1,1.8,Africa
Chad,1,0.4,Africa
Chile,172,7.6,South America
China,8,5.0,Asia
Colombia,3,4.2,South America
Comoros,1,0.1,Africa
Congo,9,1.7,Africa
Cook Islands,74,5.9,Oceania
Costa Rica,11,4.4,North America
Croatia,254,10.2,Europe
Cuba,5,4.2,North America
Cyprus,113,8.2,Europe
Czech Republic,134,11.8,Europe
North Korea,0,0.0,Asia
DR Congo,1,2.3,Africa
Denmark,278,10.4,Europe
Djibouti,3,1.1,Africa
Dominica,26,6.6,North America
Dominican Republic,9,6.2,North America
Ecuador,3,4.2,South America
Egypt,1,0.2,Africa
El Salvador,2,2.2,North America
Equatorial Guinea,233,5.8,Africa
Eritrea,0,0.5,Africa
Estonia,59,9.5,Europe
Ethiopia,0,0.7,Africa
Fiji,1,2.0,Oceania
Finland,97,10.0,Europe
France,370,11.8,Europe
Gabon,59,8.9,Africa
Gambia,1,2.4,Africa
Georgia,149,5.4,Europe
Germany,175,11.3,Europe
Ghana,10,1.8,Africa
Greece,218,8.3,Europe
Grenada,28,11.9,North America
Guatemala,2,2.2,North America
Guinea,2,0.2,Africa
Guinea-Bissau,21,2.5,Africa
Guyana,1,7.1,South America
Haiti,1,5.9,North America
Honduras,2,3.0,North America
Hungary,185,11.3,Europe
Iceland,78,6.6,Europe
India,0,2.2,Asia
Indonesia,0,0.1,Asia
Iran,0,0.0,Asia
Iraq,0,0.2,Asia
Ireland,165,11.4,Europe
Israel,9,2.5,Asia
Italy,237,6.5,Europe
Jamaica,9,3.4,North America
Japan,16,7.0,Asia
Jordan,1,0.5,Asia
Kazakhstan,12,6.8,Asia
Kenya,2,1.8,Africa
Kiribati,1,1.0,Oceania
Kuwait,0,0.0,Asia
Kyrgyzstan,6,2.4,Asia
Laos,123,6.2,Asia
Latvia,62,10.5,Europe
Lebanon,31,1.9,Asia
Lesotho,0,2.8,Africa
Liberia,2,3.1,Africa
Libya,0,0.0,Africa
Lithuania,56,12.9,Europe
Luxembourg,271,11.4,Europe
Madagascar,4,0.8,Africa
Malawi,1,1.5,Africa
Malaysia,0,0.3,Asia
Maldives,0,0.0,Asia
Mali,1,0.6,Africa
Malta,120,6.6,Europe
Marshall Islands,0,0.0,Oceania
Mauritania,0,0.0,Africa
Mauritius,18,2.6,Africa
Mexico,5,5.5,North America
Micronesia,18,2.3,Oceania
Monaco,0,0.0,Europe
Mongolia,8,4.9,Asia
Montenegro,128,4.9,Europe
Morocco,10,0.5,Africa
Mozambique,5,1.3,Africa
Myanmar,0,0.1,Asia
Namibia,1,6.8,Africa
Nauru,8,1.0,Oceania
Nepal,0,0.2,Asia
Netherlands,190,9.4,Europe
New Zealand,175,9.3,Oceania
Nicaragua,1,3.5,North America
Niger,1,0.1,Africa
Nigeria,2,9.1,Africa
Niue,7,7.0,Oceania
Norway,129,6.7,Europe
Oman,1,0.7,Asia
Pakistan,0,0.0,Asia
Palau,23,6.9,Oceania
Panama,18,7.2,North America
Papua New Guinea,1,1.5,Oceania
Paraguay,74,7.3,South America
Peru,21,6.1,South America
Philippines,1,4.6,Asia
Poland,56,10.9,Europe
Portugal,339,11.0,Europe
Qatar,7,0.9,Asia
South Korea,9,9.8,Asia
Moldova,18,6.3,Europe
Romania,167,10.4,Europe
Russian Federation,73,11.5,Asia
Rwanda,0,6.8,Africa
St. Kitts & Nevis,32,7.7,North America
St. Lucia,71,10.1,North America
St. Vincent & the Grenadines,11,6.3,North America
Samoa,24,2.6,Oceania
San Marino,0,0.0,Europe
Sao Tome & Principe,140,4.2,Africa
Saudi Arabia,0,0.1,Asia
Senegal,7,0.3,Africa
Serbia,127,9.6,Europe
Seychelles,51,4.1,Africa
Sierra Leone,2,6.7,Africa
Singapore,11,1.5,Asia
Slovakia,116,11.4,Europe
Slovenia,276,10.6,Europe
Solomon Islands,1,1.2,Oceania
Somalia,0,0.0,Africa
South Africa,81,8.2,Africa
Spain,112,10.0,Europe
Sri Lanka,0,2.2,Asia
Sudan,0,1.7,Africa
Suriname,7,5.6,South America
Swaziland,2,4.7,Africa
Sweden,186,7.2,Europe
Switzerland,280,10.2,Europe
Syria,16,1.0,Asia
Tajikistan,0,0.3,Asia
Thailand,1,6.4,Asia
Macedonia,86,3.9,Europe
Timor-Leste,4,0.1,Asia
Togo,19,1.3,Africa
Tonga,5,1.1,Oceania
Trinidad & Tobago,7,6.4,North America
Tunisia,20,1.3,Africa
Turkey,7,1.4,Asia
Turkmenistan,32,2.2,Asia
Tuvalu,9,1.0,Oceania
Uganda,0,8.3,Africa
Ukraine,45,8.9,Europe
United Arab Emirates,5,2.8,Asia
United Kingdom,195,10.4,Europe
Tanzania,1,5.7,Africa
USA,84,8.7,North America
Uruguay,220,6.6,South America
Uzbekistan,8,2.4,Asia
Vanuatu,11,0.9,Oceania
Venezuela,3,7.7,South America
Vietnam,1,2.0,Asia
Yemen,0,0.1,Asia
Zambia,4,2.5,Africa
Zimbabwe,4,4.7,Africa
